FERIEN IM SCHULJAHR 2020/2021,,,,,,,,,,,,,,,,
in den Ländern in der Bundesrepublik Deutschland 1,,,,,,,,,,,,,,,,
http://www.kmk.org/ferienkalender.html,,,,,,,,,,,,,,,,
Land*,,,"Herbst
2020","Weihnachten
2020/2021","Winter
2021",,,"Ostern/Frühjahr
2021",,"Himmelfahrt/Pfingsten
2021",,,"Sommer
2021",,,
Baden-Württemberg (4),,,"26.10. – 30.10.
31.10.",23.12. – 09.01.,--,,,"01.04.
06.04. – 10.04.",,25.05. – 05.06.,,,29.07. – 11.09.,,,
Bayern,,,31.10. – 06.11.,23.12. – 09.01.,--,,,"15.02. – 19.02.
29.03. – 10.04.",,25.05. – 04.06.,,,30.07. – 13.09.,,,
Berlin,,,12.10. – 24.10.,21.12. – 02.01.,01.02. – 06.02.,,,29.03. – 10.04.,,14.05.,,,24.06. – 06.08.,,,
Brandenburg (1),,,12.10. – 24.10.,21.12. – 02.01.,01.02. – 06.02.,,,29.03. – 09.04.,,--,,,24.06. – 07.08.,,,
Bremen,,,12.10. – 24.10.,23.12. – 08.01.,01.02. – 02.02.,,,27.03. – 10.04.,,14.05./25.05.,,,22.07. – 01.09.,,,
Hamburg,,,05.10. – 16.10.,21.12. – 04.01.,29.01.,,,01.03. – 12.03.,,10.05. – 14.05.,,,24.06. – 04.08.,,,
Hessen (3),,,05.10. – 17.10.,21.12. – 09.01.,--,,,06.04. – 16.04.,,--,,,19.07. – 27.08.,,,
Mecklenburg-Vorpommern,,,"05.10. – 10.10.
02.11. – 03.11.",21.12. – 02.01.,"06.02. – 18.02.
19.02.",,,29.03. – 07.04.,,"14.05.
21.05. – 25.05.",,,21.06. - 31.07.,,,
Niedersachsen,,,12.10. – 23.10.,23.12. – 08.01.,01.02. – 02.02.,,,29.03. – 09.04.,,14.05./25.05.,,,22.07. – 01.09.,,,
Nordrhein-Westfalen (4),,,12.10. – 24.10.,23.12. – 06.01.,--,,,29.03. – 10.04.,,25.05.,,,05.07. – 17.08.,,,
Rheinland-Pfalz (6),,,12.10. – 23.10.,21.12. – 31.12.,--,,,29.03. – 06.04.,,25.05. – 02.06.,,,19.07. – 27.08.,,,
Saarland (1),,,12.10. - 23.10.,21.12. – 31.12.,15.02. – 19.02.,,,29.03. – 07.04.,,25.05. – 28.05.,,,19.07. – 27.08.,,,
Sachsen (2),,,19.10. – 31.10.,23.12. – 02.01.,08.02. – 20.02.,,,02.04. – 10.04.,,14.05.,,,26.07. – 03.09.,,,
Sachsen-Anhalt,,,19.10. – 24.10.,21.12. – 05.01.,08.02. – 13.02.,,,29.03. – 03.04.,,10.05. – 22.05.,,,22.07. – 01.09.,,,
Schleswig-Holstein (3),,2,05.10. – 17.10.,21.12. – 06.01.,--,,,01.04. – 16.04.,,14.05. – 15.05.,,,21.06. – 31.07.,,,
Thüringen (3),,,17.10. – 30.10.,23.12. – 02.01.,08.02. – 13.02.,,,29.03. – 10.04.,,14.05.,,,26.07. – 04.09.,,,
*in Klammern ist die Zahl der beweglichen Ferientage angegeben.,,,,,,,,,,,,,,,,
Stand: 16.01.2020,,,,,,,,,,,,,,,,
1,Angegeben ist jeweils der erste und letzte Ferientag.,,,,,,,,,,,,,,,
,-,"Während die Kultusministerkonferenz die Sommerferien langfristig vereinbart, werden die übrigen Ferientermine von den Ländern",,,,,,,,,selbst bestimmt. Die Länder übermitteln ihre,,,,,
,,"Ferientermine dem Sekretariat der Kultusministerkonferenz,",,das,sie,als,Übersicht,veröffentlicht.,Konkrete,Nachfragen,bezüglich,der,Ferienregelungen,sind,bei,den
,,Schulverwaltungen der Länder zu stellen.,,,,,,,,,,,,,,
,-,Schul- und unterrichtsfreie Tage sind kursiv gekennzeichnet.,,,,,,,,,,,,,,
,-,Die Veröffentlichung erfolgt fortlaufend.,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
,"SH - Auf den Inseln Sylt, Föhr, Amrum und Helgoland sowie auf den Halligen gelten für die Sommer- und Herbstferien Sonderregelungen.",,,,,,,,,,,,,,,
Sekretariat der Kultusministerkonferenz,,,,,,,,,,,,,,,,
Taubenstraße 10 · 10117 Berlin Postfach 11 03 42 · 10833 Berlin Tel.: 030 25418-499,,,,,,,,Graurheindorfer Straße 157 · 53117 Bonn,,,Postfach 22 40 · 53012 Bonn,,,Tel.: 0228 501-0,,
